,warpLossTime,warpLossValue,hdToTestRobustTime,hdToTestTime,avSurfDistToTestTime,hdToTestRobustValue,hdToTestValue,avSurfDistToTestValue,hdToTestValue ,WIDTH,HEIGHT,DEPTH,noise,distortion,translations
0,97.56953146200067,15.122634887695312,1.6355482100007066,1.6462508429995069,1.6361288020016218,180.13636501063783,294.8762452284009,233.71094523750983,294.8762452284009,336.0,250.0,371.0,0.0,0.0,0.0
1,93.48530468900026,15.25979232788086,1.5305686140000034,1.5381096070013882,1.5299701290005032,1.0,118.85285019720814,39.60232288099588,118.85285019720814,336.0,250.0,371.0,0.0,0.0,0.0
2,93.65377244099909,15.10445785522461,1.4087027510013286,1.427283256998635,1.4183838019998802,1.0,136.0514608521349,66.5935748461789,136.0514608521349,336.0,250.0,371.0,0.0,0.0,0.0
3,94.2307619029998,17.512435913085938,4.4486959030000435,4.491503239998565,4.467398356999183,6.0,305.8414621989635,106.31858928937622,305.8414621989635,336.0,250.0,371.0,0.0,0.0,0.0
4,7.996989454999493,36.43696975708008,1.6416466709997621,1.6415873609985283,1.6330068339993886,180.13636501063783,294.8762452284009,233.71094523750986,294.8762452284009,336.0,250.0,371.0,0.0,0.0,0.0
5,8.818254847999924,36.0760612487793,2.1263340649984457,2.1506784230004996,2.1487171200005832,246.43221379518155,325.9509165503297,284.6557419078855,325.9509165503297,336.0,250.0,371.0,0.0,0.0,0.0
6,8.51620152200121,34.432071685791016,0.9065167080007086,0.8988325070004066,0.8984901200001332,112.16505694733989,224.8399430706208,161.46448400670872,224.8399430706208,336.0,250.0,371.0,0.0,0.0,0.0
7,8.988734991999081,36.19651412963867,4.534793900000295,4.765389509999295,4.726548524000464,3.0,328.28189106315324,130.62480123407522,328.28189106315324,336.0,250.0,371.0,0.0,0.0,0.0
8,69.32664482200016,24.51287841796875,1.6951297230007185,1.6196516159998282,1.5481091769997875,1.0,118.85285019720814,39.60232288099588,118.85285019720814,336.0,250.0,371.0,0.0,0.0,0.0
9,68.55287164100082,24.329803466796875,2.13638003899905,2.153786875998776,2.1581896979987505,246.43221379518155,325.9509165503297,284.6557419078855,325.9509165503297,336.0,250.0,371.0,0.0,0.0,0.0
